UNITID,year,school_name,instruction_staff,instructors_per_thousand_student,admin_professional_staff,admin_professionalstaff_perthousandstudent,noninstruction_academicstaff,noninstruction_academicstaff_perthousandstudent,nonadmin_trade_servicestaff,nonadmin_tradeservicestaff_perthousandstudent,all_instructors_staff,ug_student_perthousandstudent,instructor_salarypermillion,adminprofessionalstaff_salarypermillion,noninstruction_academicstaff_salarypermillion,nonadmin_tradeservicestaff_salarypermillion,ug_average_sch_studentperay,grad_average_sch_studentperay,ug_degrees_perthousand_ugstudent,ug_certi_perthousand_ugstudent,graddegree_perhundredgradstudent,grad_certi_perhundred_gradstudent,bachelordegree_4yeargradrate,bachelordegree_6yeargradrate,associatedegree_certi3yeargradrate
197814,2014,College of the Albemarle,70,20,73,21,13,4,16,5,102,"1,000","333,942","312,058","48,844","44,245",14,NULL,149,58,NULL,NULL,NULL,NULL,18.47%
197832,2014,The Art Institute of Charlotte,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","215,249","491,537","6,576",0,30,NULL,155,0,NULL,NULL,22.67%,32.00%,NULL
197850,2014,South Piedmont Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","334,712","429,496","66,938","18,720",14,NULL,128,97,NULL,NULL,NULL,NULL,7.06%
197869,2014,Appalachian State University,920,48,904,47,152,8,544,28,"1,600",886,"374,576","307,050","48,437","112,296",29,17,0,0,642,60,44.11%,69.73%,NULL
197887,2014,Asheville-Buncombe Technical Community College,167,15,199,17,41,4,41,4,281,"1,000","296,880","339,356","63,314","50,824",17,NULL,156,120,NULL,NULL,NULL,NULL,28.05%
197911,2014,Barton College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,985,"394,762","473,738","33,454","18,757",27,12,0,0,"1,667",0,28.74%,43.72%,NULL
197966,2014,Beaufort County Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","298,652","351,099","64,000","70,142",17,NULL,170,108,NULL,NULL,NULL,NULL,7.04%
197984,2014,Belmont Abbey College,72,39,90,48,11,6,5,3,106,"1,000","304,094","418,690","37,066","12,163",25,NULL,0,0,NULL,NULL,32.52%,38.11%,NULL
197993,2014,Bennett College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","323,156","474,772","41,368","44,607",27,NULL,0,0,NULL,NULL,28.12%,45.31%,NULL
198011,2014,Bladen Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","361,428","330,966","20,214","25,283",14,NULL,124,66,NULL,NULL,NULL,NULL,20.30%
198039,2014,Blue Ridge Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","281,259","390,749","49,094","38,107",19,NULL,143,104,NULL,NULL,NULL,NULL,24.47%
198066,2014,Brevard College,51,70,86,117,4,6,20,28,110,"1,000","345,437","518,069","16,358","59,088",29,NULL,0,0,NULL,NULL,35.52%,42.62%,NULL
198084,2014,Brunswick Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","257,855","297,728","48,192","120,357",18,NULL,235,168,NULL,NULL,NULL,NULL,24.53%
198109,2014,Cabarrus College of Health Sciences,31,58,13,24,10,19,0,0,23,"1,000","591,495","223,441","123,105",0,19,NULL,472,328,NULL,NULL,NULL,NULL,NULL
198118,2014,Caldwell Community College and Technical Institute,94,18,170,32,9,2,36,7,215,"1,000","230,697","410,916","18,175","52,113",17,NULL,214,39,NULL,NULL,NULL,NULL,11.65%
198136,2014,Campbell University,239,34,288,41,59,9,129,19,476,749,"393,893","278,903","43,958","62,332",24,9,35,0,336,0,33.92%,50.56%,NULL
198154,2014,Cape Fear Community College,300,23,182,14,36,3,81,6,299,"1,000","449,886","237,420","45,322","67,915",19,NULL,172,51,NULL,NULL,NULL,NULL,19.90%
198206,2014,Carteret Community College,59,28,67,31,3,2,21,10,91,"1,000","344,921","350,035","12,955","66,678",17,NULL,188,109,NULL,NULL,NULL,NULL,18.89%
198215,2014,Catawba College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,970,"352,145","445,723","61,472","70,162",26,12,0,0,445,0,44.94%,51.82%,NULL
198233,2014,Catawba Valley Community College,141,22,170,27,6,1,13,2,189,"1,000","345,038","380,004","11,981","23,872",15,NULL,183,40,NULL,NULL,NULL,NULL,14.31%
198242,2014,South College-Asheville,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","544,627","188,105","55,507","98,267",33,NULL,355,0,NULL,NULL,NULL,NULL,NULL
198251,2014,Central Carolina Community College,141,21,187,28,28,5,23,4,238,"1,000","308,931","364,761","51,017","28,195",17,NULL,147,235,NULL,NULL,NULL,NULL,21.86%
198260,2014,Central Piedmont Community College,382,12,552,18,224,8,15,1,791,"1,000","278,147","384,573","121,657","10,203",15,NULL,107,24,NULL,NULL,NULL,NULL,11.14%
198303,2014,Chowan University,60,42,112,77,5,4,21,15,138,996,"322,188","471,497","20,102","42,877",28,17,2,0,0,0,14.64%,25.23%,NULL
198321,2014,Cleveland Community College,76,17,71,16,26,6,7,2,104,"1,000","314,214","289,070","97,744","17,590",16,NULL,148,70,NULL,NULL,NULL,NULL,18.73%
198330,2014,Coastal Carolina Community College,141,20,109,16,17,3,29,5,155,"1,000","346,195","233,640","40,406","44,410",18,NULL,157,152,NULL,NULL,NULL,NULL,20.11%
198367,2014,Craven Community College,67,14,116,25,4,1,14,3,134,"1,000","257,180","459,512","12,843","35,129",18,NULL,204,61,NULL,NULL,NULL,NULL,11.59%
198376,2014,Davidson County Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","245,549","382,363","17,344","52,308",18,NULL,185,168,NULL,NULL,NULL,NULL,23.34%
198385,2014,Davidson College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","330,831","388,381","61,384","119,492",30,NULL,0,0,NULL,NULL,90.83%,92.71%,NULL
198419,2014,Duke University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,425,"86,279","143,570","18,801","19,445",34,19,0,0,452,5,87.13%,94.85%,NULL
198455,2014,Durham Technical Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","195,368","444,144","54,057","56,750",13,NULL,100,91,NULL,NULL,NULL,NULL,11.84%
198464,2014,East Carolina University,1455,48,"2,602",1,390,13,902,30,"1,294",782,"208,194","326,818","25,826","76,683",27,13,0,0,454,10,32.51%,58.63%,NULL
198491,2014,Edgecombe Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","215,518","372,105","53,608","29,524",16,NULL,130,42,NULL,NULL,NULL,NULL,6.63%
198507,2014,Elizabeth City State University,125,46,182,67,62,23,74,28,318,957,"262,204","319,838","63,223","76,455",27,11,0,0,925,0,14.94%,39.15%,NULL
198516,2014,Elon University,402,61,491,74,95,15,194,30,780,873,"380,079","376,070","56,321","81,749",34,5,0,0,307,0,75.74%,80.62%,NULL
198534,2014,Fayetteville Technical Community College,298,15,270,14,60,4,126,7,456,"1,000","390,876","268,447","63,840","76,091",16,NULL,121,105,NULL,NULL,NULL,NULL,5.97%
198543,2014,Fayetteville State University,242,32,328,43,80,11,139,19,547,868,"353,564","317,974","66,480","84,001",22,14,0,0,383,0,17.13%,34.60%,NULL
198552,2014,Forsyth Technical Community College,250,20,271,21,3,1,32,3,306,"1,000","280,848","331,031","4,256","28,967",16,NULL,147,50,NULL,NULL,NULL,NULL,11.37%
198561,2014,Gardner-Webb University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,525,"338,858","389,626","26,226","51,101",26,17,28,0,694,0,37.41%,53.97%,NULL
198570,2014,Gaston College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","343,577","307,927","120,484","64,076",16,NULL,169,103,NULL,NULL,NULL,NULL,20.69%
198598,2014,Greensboro College,41,36,65,57,15,14,9,8,89,951,"305,675","389,385","83,289","30,751",24,11,0,0,536,36,21.33%,36.97%,NULL
198613,2014,Guilford College,113,43,152,57,44,17,44,17,240,"1,000","355,022","416,488","99,941","67,745",26,NULL,0,3,NULL,NULL,49.51%,60.84%,NULL
198622,2014,Guilford Technical Community College,314,18,238,13,66,4,94,6,398,"1,000","378,710","247,690","61,093","64,275",17,NULL,130,15,NULL,NULL,NULL,NULL,12.08%
198640,2014,Halifax Community College,63,33,61,32,12,7,12,7,85,"1,000","353,439","340,242","71,964","37,057",19,NULL,143,234,NULL,NULL,NULL,NULL,10.18%
198668,2014,Haywood Community College,61,20,90,29,4,2,23,8,117,"1,000","291,857","396,475","16,453","62,550",17,NULL,194,211,NULL,NULL,NULL,NULL,22.97%
198677,2014,Heritage Bible College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","332,636","125,867","243,888",0,12,NULL,0,0,NULL,NULL,0.00%,0.00%,NULL
198695,2014,High Point University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,951,"466,141","475,155","18,242","88,540",30,13,0,0,689,0,59.20%,63.18%,NULL
198710,2014,Isothermal Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","296,269","308,912","87,028","53,839",16,NULL,141,89,NULL,NULL,NULL,NULL,7.73%
198729,2014,James Sprunt Community College,43,24,67,38,17,10,8,5,92,"1,000","275,771","389,008","86,240","28,880",18,NULL,206,170,NULL,NULL,NULL,NULL,15.54%
198756,2014,Johnson C Smith University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","314,607","431,922","28,479","55,873",27,NULL,0,0,NULL,NULL,30.69%,43.68%,NULL
198774,2014,Johnston Community College,107,20,119,22,36,7,40,8,195,"1,000","337,466","315,477","97,193","67,875",20,NULL,193,128,NULL,NULL,NULL,NULL,24.30%
198808,2014,Lees-McRae College,45,47,84,88,2,3,23,24,109,"1,000","319,886","521,074","13,212","81,325",28,NULL,0,0,NULL,NULL,29.69%,37.99%,NULL
198817,2014,Lenoir Community College,110,23,84,18,33,7,19,4,136,"1,000","281,203","250,165","94,312","31,074",16,NULL,132,79,NULL,NULL,NULL,NULL,12.71%
198835,2014,Lenoir-Rhyne University,110,52,107,51,18,9,6,3,131,759,"439,506","357,808","50,059","12,312",27,16,0,0,345,0,40.58%,54.20%,NULL
198862,2014,Livingstone College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","354,859","465,161","105,605","62,839",29,NULL,0,0,NULL,NULL,10.54%,23.80%,NULL
198871,2014,Louisburg College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","187,442","525,718","26,690","112,228",24,NULL,274,0,NULL,NULL,NULL,NULL,22.35%
198899,2014,Mars Hill University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,991,"410,367","485,090","24,679","87,487",27,18,0,0,800,0,29.01%,36.86%,NULL
198905,2014,Martin Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","264,889","327,975","96,036","7,328",17,NULL,182,81,NULL,NULL,NULL,NULL,6.19%
198914,2014,Mayland Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","322,019","428,982","32,250","13,041",15,NULL,128,75,NULL,NULL,NULL,NULL,30.85%
198923,2014,McDowell Technical Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","311,095","197,467","216,748","33,604",17,NULL,135,46,NULL,NULL,NULL,NULL,12.50%
198950,2014,Meredith College,124,60,172,83,44,22,55,27,271,841,"334,412","415,756","79,485","68,917",28,15,0,0,629,438,49.12%,61.71%,NULL
198969,2014,Methodist University,152,54,170,61,18,7,93,33,281,910,"421,463","349,310","31,445","111,144",25,27,7,0,649,0,15.35%,35.73%,NULL
198987,2014,Mitchell Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","339,623","357,329","7,344","44,518",15,NULL,192,99,NULL,NULL,NULL,NULL,20.35%
199023,2014,Montgomery Community College,35,29,38,31,5,5,7,6,50,"1,000","346,224","317,984","37,548","36,977",17,NULL,121,346,NULL,NULL,NULL,NULL,21.43%
199032,2014,Montreat College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,775,"251,568","346,461","107,769","96,289",27,15,27,0,518,0,25.00%,37.07%,NULL
199069,2014,University of Mount Olive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,992,"373,044","390,213","127,982","30,534",22,13,79,0,0,0,31.65%,43.12%,NULL
199087,2014,Nash Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","472,836","287,993","37,695","41,073",16,NULL,124,91,NULL,NULL,NULL,NULL,7.52%
199102,2014,North Carolina A & T State University,439,37,771,64,121,10,218,19,"1,110",835,"286,154","336,096","50,009","62,404",26,15,0,0,470,0,21.48%,47.93%,NULL
199111,2014,University of North Carolina at Asheville,216,48,277,62,34,8,134,30,445,988,"371,023","350,861","37,657","109,659",23,8,0,0,351,0,38.40%,64.16%,NULL
199120,2014,University of North Carolina at Chapel Hill,2074,66,"6,078",1,"2,470",1,"1,547",1,9,613,"159,454","304,527","55,526","54,961",29,13,0,0,342,0,80.37%,90.26%,NULL
199139,2014,University of North Carolina at Charlotte,1021,34,"1,361",1,171,6,618,21,790,797,"332,548","344,968","40,229","89,888",25,13,0,0,450,88,25.04%,54.53%,NULL
199148,2014,University of North Carolina at Greensboro,754,36,999,48,225,11,375,18,"1,599",808,"311,245","336,912","60,764","71,468",24,14,0,0,432,4,30.72%,55.61%,NULL
199157,2014,North Carolina Central University,381,42,595,65,78,9,170,19,843,765,"305,875","370,283","41,533","64,884",26,11,0,0,406,0,21.83%,46.78%,NULL
199184,2014,University of North Carolina School of the Arts,137,148,166,179,20,22,91,99,277,875,"342,258","388,539","36,653","124,471",32,24,0,0,776,0,58.54%,63.41%,NULL
199193,2014,North Carolina State University at Raleigh,1844,48,"3,875",1,"1,322",1,"1,293",1,5,713,"242,763","374,946","146,049","74,849",26,13,12,0,437,0,43.54%,75.84%,NULL
199209,2014,North Carolina Wesleyan College,52,26,135,67,5,3,0,0,140,"1,000","277,373","665,170","22,275",0,20,NULL,0,0,NULL,NULL,20.60%,35.19%,NULL
199218,2014,University of North Carolina Wilmington,628,40,757,48,107,7,314,20,"1,178",890,"359,302","329,126","43,229","91,816",27,14,0,0,625,7,49.15%,70.52%,NULL
199263,2014,Pamlico Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","360,439","282,836","148,474","45,528",14,NULL,116,598,NULL,NULL,NULL,NULL,17.65%
199272,2014,William Peace University,27,22,36,30,15,13,14,12,65,"1,000","188,405","324,301","85,004","58,338",25,NULL,0,0,NULL,NULL,28.82%,35.88%,NULL
199281,2014,University of North Carolina at Pembroke,307,42,321,44,53,8,138,19,512,871,"372,663","322,778","48,694","87,647",23,14,0,0,457,0,14.90%,34.35%,NULL
199306,2014,Pfeiffer University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,455,"381,005","337,942","49,554","5,128",26,11,0,4,598,0,25.00%,34.90%,NULL
199315,2014,Piedmont International University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,528,"304,741","332,668","109,814","34,121",20,10,46,0,189,0,32.50%,42.50%,NULL
199324,2014,Piedmont Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","340,429","365,109","17,876","39,632",16,NULL,158,199,NULL,NULL,NULL,NULL,14.41%
199333,2014,Pitt Community College,194,15,188,15,50,4,17,2,255,"1,000","351,520","312,653","99,465","18,441",16,NULL,169,123,NULL,NULL,NULL,NULL,11.75%
199412,2014,Queens University of Charlotte,125,45,203,74,6,3,11,4,220,726,"338,598","463,328","9,039","16,352",25,13,16,0,451,29,53.42%,61.89%,NULL
199421,2014,Randolph Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","407,726","370,400","51,686","54,337",21,NULL,186,76,NULL,NULL,NULL,NULL,10.32%
199449,2014,Richmond Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","433,681","288,408","94,784","44,482",18,NULL,133,68,NULL,NULL,NULL,NULL,9.29%
199458,2014,Mid-Atlantic Christian University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","254,103","245,238","283,069","46,021",21,NULL,30,0,NULL,NULL,20.00%,43.33%,NULL
199467,2014,Roanoke-Chowan Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","329,541","285,384","98,866","40,398",16,NULL,128,32,NULL,NULL,NULL,NULL,12.86%
199476,2014,Robeson Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","421,057","313,315","14,314","4,034",17,NULL,129,35,NULL,NULL,NULL,NULL,6.47%
199485,2014,Rockingham Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","325,765","324,164","47,262","45,555",16,NULL,172,112,NULL,NULL,NULL,NULL,13.96%
199494,2014,Rowan-Cabarrus Community College,172,18,178,19,16,2,17,2,211,"1,000","351,684","357,826","27,512","23,760",18,NULL,139,194,NULL,NULL,NULL,NULL,12.90%
199582,2014,Saint Augustine's University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","274,722","327,993","7,133","136,902",30,NULL,0,0,NULL,NULL,17.98%,32.85%,NULL
199607,2014,Salem College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,811,"292,978","315,985","76,279","71,649",29,14,0,18,417,0,61.02%,65.25%,NULL
199625,2014,Sampson Community College,60,39,57,38,8,6,12,8,77,"1,000","407,579","345,438","29,402","42,481",19,NULL,229,154,NULL,NULL,NULL,NULL,17.70%
199634,2014,Sandhills Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","341,200","258,096","54,246","59,182",17,NULL,184,79,NULL,NULL,NULL,NULL,11.47%
199643,2014,Shaw University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,931,"287,877","407,113","63,782","60,560",24,15,1,0,228,0,12.38%,24.37%,NULL
199698,2014,St Andrews University,31,47,36,54,4,6,86,129,126,933,"238,912","255,955","20,507","362,982",28,8,0,0,534,0,26.09%,29.71%,NULL
199722,2014,Southeastern Community College,67,33,77,37,32,16,11,6,120,"1,000","327,570","345,731","89,381","31,941",18,NULL,155,90,NULL,NULL,NULL,NULL,7.12%
199731,2014,Southwestern Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","347,127","318,788","64,546","52,697",16,NULL,209,31,NULL,NULL,NULL,NULL,29.41%
199740,2014,Stanly Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","347,492","336,259","13,671","39,365",15,NULL,165,99,NULL,NULL,NULL,NULL,17.86%
199759,2014,Southeastern Baptist Theological Seminary,59,19,86,27,10,4,18,6,114,240,"316,272","348,395","29,987","54,998",13,13,6,0,275,0,24.14%,27.59%,NULL
199768,2014,Surry Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","359,862","364,476","32,971","52,382",18,NULL,210,60,NULL,NULL,NULL,NULL,22.75%
199786,2014,Alamance Community College,110,17,77,12,23,4,9,2,109,"1,000","351,981","245,143","65,416","17,436",16,NULL,150,54,NULL,NULL,NULL,NULL,11.00%
199795,2014,Tri-County Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","314,245","232,574","260,916","32,304",18,NULL,162,8,NULL,NULL,NULL,NULL,11.39%
199838,2014,Vance-Granville Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","379,862","328,051","61,008","47,209",16,NULL,145,44,NULL,NULL,NULL,NULL,22.83%
199847,2014,Wake Forest University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,615,"101,849","141,816","8,295","22,187",29,16,0,0,474,0,82.79%,88.22%,NULL
199856,2014,Wake Technical Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","376,654","374,213","64,021","26,050",17,NULL,122,71,NULL,NULL,NULL,NULL,13.65%
199865,2014,Warren Wilson College,67,68,100,102,11,12,30,31,141,916,"349,867","444,385","42,391","100,675",29,24,0,0,579,0,41.77%,51.00%,NULL
199892,2014,Wayne Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","446,376","293,130","35,906","60,436",19,NULL,186,135,NULL,NULL,NULL,NULL,21.55%
199908,2014,Western Piedmont Community College,76,23,87,27,6,2,20,6,113,"1,000","293,007","317,501","19,373","46,120",18,NULL,261,69,NULL,NULL,NULL,NULL,18.60%
199926,2014,Wilkes Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","311,538","334,082","82,308","54,104",19,NULL,178,46,NULL,NULL,NULL,NULL,17.36%
199953,2014,Wilson Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","266,868","327,168","95,759","45,427",17,NULL,139,35,NULL,NULL,NULL,NULL,12.37%
199962,2014,Wingate University,162,51,166,52,53,17,39,13,258,649,"468,014","337,396","81,249","47,974",30,11,0,0,249,0,42.46%,50.81%,NULL
199971,2014,Carolina Christian College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,747,"263,493","158,731","95,239","63,493",27,15,215,0,422,0,100.00%,100.00%,NULL
199999,2014,Winston-Salem State University,303,46,405,62,48,8,122,19,575,918,"340,363","344,040","34,756","60,626",24,14,0,0,495,0,17.29%,45.75%,NULL
200004,2014,Western Carolina University,453,40,538,47,88,8,337,30,963,819,"354,848","335,467","45,660","133,359",25,13,0,0,497,0,39.82%,58.29%,NULL
200013,2014,Rasmussen College-North Dakota,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","141,998","170,218","297,824","9,425",25,NULL,387,130,NULL,NULL,57.14%,57.14%,NULL
200022,2014,Bismarck State College,127,25,145,28,11,3,53,11,209,"1,000","355,449","373,959","28,983","86,256",18,NULL,316,3,NULL,NULL,NULL,NULL,NULL
200059,2014,Dickinson State University,91,51,78,43,12,7,37,21,127,997,"420,456","380,242","43,525","109,901",20,3,41,4,0,0,11.49%,34.12%,NULL
200086,2014,Fort Berthold Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","313,788","344,502","320,586",0,13,NULL,77,16,NULL,NULL,NULL,NULL,NULL
200156,2014,University of Jamestown,64,56,59,52,3,3,37,33,99,964,"418,596","354,834","9,756","129,494",27,31,0,0,48,0,27.72%,48.69%,NULL
200192,2014,Lake Region State College,37,12,49,16,18,6,18,6,85,"1,000","274,960","338,751","102,305","78,135",11,NULL,130,51,NULL,NULL,NULL,NULL,40.91%
200208,2014,Cankdeska Cikana Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","238,770","373,492","246,231","91,197",15,NULL,157,0,NULL,NULL,NULL,NULL,16.22%
200217,2014,University of Mary,94,19,140,28,5,1,48,10,193,492,"131,196","144,245","5,441","43,613",25,8,0,0,344,0,28.95%,46.11%,NULL
200226,2014,Mayville State University,48,34,89,63,28,20,34,24,151,980,"288,067","442,275","84,670","100,747",18,2,11,0,0,0,19.10%,41.57%,NULL
200253,2014,Minot State University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,922,"425,605","275,532","44,794","83,228",20,14,1,8,762,31,13.55%,39.90%,NULL
200280,2014,University of North Dakota,762,42,"1,276",1,89,5,483,27,573,774,"217,265","299,291","11,916","83,590",23,13,0,7,370,30,23.40%,55.49%,NULL
200305,2014,North Dakota State College of Science,115,31,120,33,13,4,78,21,211,"1,000","339,131","336,114","35,598","148,683",19,NULL,295,2,NULL,NULL,NULL,NULL,39.35%
200314,2014,Dakota College at Bottineau,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","337,131","309,360","69,272","123,406",15,NULL,191,0,NULL,NULL,NULL,NULL,23.81%
200332,2014,North Dakota State University-Main Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,731,"262,594","355,941","148,643","83,191",27,9,0,1,187,8,25.17%,56.08%,NULL
200341,2014,Williston State College,32,26,44,36,15,12,16,13,75,"1,000","236,250","337,766","158,576","68,228",15,NULL,321,8,NULL,NULL,NULL,NULL,35.06%
200466,2014,Sitting Bull College,26,62,24,57,16,38,34,80,74,"1,000","794,329","598,920","396,656","706,677",11,NULL,123,29,NULL,NULL,NULL,NULL,NULL
200484,2014,Trinity Bible College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","240,788","497,272","22,739","128,516",25,NULL,37,0,NULL,NULL,19.15%,44.68%,NULL
200527,2014,Turtle Mountain Community College,35,41,65,76,7,9,10,12,82,"1,000","260,413","512,648","45,254","54,234",18,NULL,199,36,NULL,NULL,0.00%,50.00%,NULL
200554,2014,United Tribes Technical College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","217,173","279,261","277,432","53,300",25,NULL,98,22,NULL,NULL,NULL,NULL,NULL
200572,2014,Valley City State University,73,43,96,56,5,3,30,18,131,879,"366,411","397,094","18,590","84,819",20,9,0,0,389,0,22.73%,48.05%,NULL
200590,2014,ETI Technical College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","355,234","192,153","98,720","29,072",26,NULL,150,0,NULL,NULL,NULL,NULL,42.86%
200624,2014,The Art Institute of Cincinnati-AIC College of Design,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","290,483","267,318","112,878",0,30,NULL,500,0,NULL,NULL,NULL,NULL,NULL
200785,2014,Akron Institute of Herzing University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","480,537","145,835","129,713","14,838",18,NULL,253,0,NULL,NULL,NULL,NULL,NULL
200800,2014,University of Akron Main Campus,794,28,965,33,213,8,374,13,"1,552",800,"313,068","282,761","51,578","69,182",23,14,64,18,400,15,14.25%,42.82%,NULL
200846,2014,University of Akron Wayne College,23,9,29,11,14,6,10,4,53,"1,000",NULL,NULL,NULL,NULL,14,NULL,62,20,NULL,NULL,NULL,NULL,6.95%
200873,2014,Allegheny Wesleyan College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","79,886","323,843","165,308","43,277",22,NULL,79,0,NULL,NULL,6.25%,37.50%,NULL
201016,2014,Antonelli College-Cincinnati,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","50,180","51,238","36,514","28,737",35,NULL,547,0,NULL,NULL,NULL,NULL,32.58%
201061,2014,Art Academy of Cincinnati,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,964,"185,865","383,381","61,542","42,314",28,11,0,0,750,0,57.45%,61.70%,NULL
201104,2014,Ashland University,240,30,310,39,35,5,105,13,450,488,"316,660","345,575","33,884","65,337",25,12,5,136,327,2,41.40%,56.84%,NULL
201177,2014,Aultman College of Nursing and Health Sciences,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","252,696","636,008","80,696",0,18,NULL,561,0,NULL,NULL,NULL,NULL,NULL
201195,2014,Baldwin Wallace University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,776,"322,221","366,460","10,233","66,729",25,11,0,6,413,0,50.95%,68.16%,NULL
